customer_id,customer_name,gender,age,city,province,signup_date,signup_channel,is_churned
1,Raza Sheikh,Other,33,Islamabad,Islamabad Capital Territory,2024-10-08,TikTok Ads,1
2,Sana Iqbal,Male,28,Karachi,Sindh,2025-11-23,Facebook Ads,0
3,Hina Farooq,Female,42,Karachi,Sindh,2024-02-02,Referral,0
4,Muhammad Ali,Male,36,Faisalabad,Punjab,2025-07-28,Facebook Ads,1
5,Ayesha Farooq,Female,26,Karachi,Sindh,2025-08-26,Google Ads,1
6,Bilal Khan,Male,26,Lahore,Punjab,2025-12-15,Facebook Ads,0
7,Mariam Shah,Male,21,Karachi,Sindh,2026-02-20,Google Ads,0
8,Omer Sheikh,Male,32,Lahore,Punjab,2025-01-02,Organic,0
9,Asad Hashmi,Male,30,Lahore,Punjab,2026-01-17,Facebook Ads,0
10,Zahra Farooq,Female,18,Lahore,Punjab,2024-03-21,Facebook Ads,0
11,Hassan Abbasi,Female,25,Islamabad,Islamabad Capital Territory,2025-08-14,Google Ads,1
12,Ayesha Ali,Other,27,Karachi,Sindh,2024-08-21,Google Ads,1
13,Amna Abbasi,Male,36,Karachi,Sindh,2024-04-13,Google Ads,1
14,Kiran Siddiqui,Female,20,Lahore,Punjab,2024-06-15,Facebook Ads,1
15,Asad Mughal,Female,35,Karachi,Sindh,2025-12-19,Facebook Ads,1
16,Yasmin Ali,Male,31,Karachi,Sindh,2025-06-30,Facebook Ads,0
17,Hina Iqbal,Female,18,Rawalpindi,Punjab,2024-10-03,Google Ads,1
18,Raza Farooq,Female,24,Karachi,Sindh,2026-05-13,Google Ads,0
19,Amna Ahmed,Male,32,Karachi,Sindh,2026-04-04,Referral,0
20,Omer Dar,Male,26,Rawalpindi,Punjab,2025-08-03,Facebook Ads,0
21,Faisal Shah,Female,38,Rawalpindi,Punjab,2025-02-09,Facebook Ads,1
22,Raza Gill,Male,37,Lahore,Punjab,2024-09-09,Facebook Ads,1
23,Hina Farooq,Female,32,Karachi,Sindh,2025-08-20,Facebook Ads,1
24,Kiran Mughal,Male,37,Karachi,Sindh,2025-06-05,Facebook Ads,0
25,Saad Ali,Male,36,Multan,Punjab,2024-06-05,Google Ads,1
26,Raza Butt,Female,40,Karachi,Sindh,2025-09-02,Organic,1
27,Ali Dar,Female,32,Rawalpindi,Punjab,2025-06-25,Google Ads,0
28,Bilal Farooq,Male,42,Lahore,Punjab,2025-11-27,Google Ads,0
29,Hina Sheikh,Female,30,Karachi,Sindh,2026-02-26,Google Ads,0
30,Raza Shah,Female,27,Multan,Punjab,2024-06-10,Facebook Ads,0
31,Zahra Khan,Female,41,Karachi,Sindh,2025-05-27,Facebook Ads,1
32,Amna Butt,Male,25,Karachi,Sindh,2025-10-02,Facebook Ads,1
33,Usman Jatoi,Male,37,Rawalpindi,Punjab,2025-01-17,Facebook Ads,1
34,Amna Butt,Male,32,Multan,Punjab,2025-09-05,Google Ads,0
35,Omer Cheema,Other,24,Karachi,Sindh,2025-01-06,Google Ads,1
36,Usman Iqbal,Male,27,Rawalpindi,Punjab,2024-03-28,Direct,1
37,Hina Cheema,Male,30,Lahore,Punjab,2024-05-11,Facebook Ads,0
38,Yasmin Cheema,Male,28,Karachi,Sindh,2024-09-28,Facebook Ads,1
39,Tariq Hashmi,Male,28,Lahore,Punjab,2025-07-06,Organic,0
40,Amna Raza,Female,33,Lahore,Punjab,2025-11-18,Referral,0
41,Raza Mughal,Female,18,Karachi,Sindh,2024-05-03,Facebook Ads,1
42,Sana Iqbal,Male,29,Lahore,Punjab,2025-08-25,Google Ads,1
43,Hassan Iqbal,Male,28,Karachi,Sindh,2024-03-13,Google Ads,0
44,Faisal Ahmed,Male,32,Sialkot,Punjab,2026-05-30,Facebook Ads,0
45,Omer Ali,Female,39,Karachi,Sindh,2025-11-16,Organic,0
46,Saad Raza,Female,36,Lahore,Punjab,2024-09-05,TikTok Ads,1
47,Saad Qureshi,Male,34,Karachi,Sindh,2025-11-05,Organic,0
48,Mariam Mughal,Female,47,Karachi,Sindh,2026-01-16,Facebook Ads,1
49,Ahmed Sheikh,Female,30,Islamabad,Islamabad Capital Territory,2026-03-30,Facebook Ads,0
50,Zain Iqbal,Female,25,Lahore,Punjab,2024-05-23,Facebook Ads,1
51,Mariam Butt,Male,21,Islamabad,Islamabad Capital Territory,2024-03-18,Google Ads,1
52,Zahra Farooq,Male,33,Peshawar,KPK,2024-04-05,Facebook Ads,1
53,Amna Iqbal,Female,23,Peshawar,KPK,2025-05-07,Direct,1
54,Ayesha Dar,Male,27,Karachi,Sindh,2025-01-23,TikTok Ads,1
55,Muhammad Dar,Female,31,Lahore,Punjab,2024-10-19,Facebook Ads,0
56,Mariam Farooq,Female,40,Karachi,Sindh,2024-06-07,Direct,1
57,Ayesha Abbasi,Male,32,Karachi,Sindh,2025-08-16,Facebook Ads,0
58,Hina Farooq,Female,36,Islamabad,Islamabad Capital Territory,2024-02-28,Direct,1
59,Ahmed Baig,Male,32,Lahore,Punjab,2024-02-28,Facebook Ads,1
60,Tariq Ali,Male,32,Karachi,Sindh,2025-09-01,Direct,1
61,Ali Iqbal,Male,32,Karachi,Sindh,2025-08-15,Facebook Ads,0
62,Nida Ahmed,Female,24,Lahore,Punjab,2025-11-04,TikTok Ads,0
63,Sara Baig,Female,20,Islamabad,Islamabad Capital Territory,2024-07-28,Facebook Ads,1
64,Yasmin Shah,Female,35,Karachi,Sindh,2024-05-14,Organic,0
65,Yasmin Abbasi,Male,37,Islamabad,Islamabad Capital Territory,2024-01-10,TikTok Ads,1
66,Zahra Hashmi,Male,33,Karachi,Sindh,2024-03-16,Google Ads,1
67,Hassan Raza,Male,22,Quetta,Balochistan,2024-12-23,Google Ads,1
