customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment,customer_name,gender,age,city,province,signup_date,signup_channel,is_churned,age_group,churn_probability
1,438,1,5291.5,1,1,2,112,Hibernating,Raza Sheikh,Other,33,Islamabad,Islamabad Capital Territory,2024-10-08,TikTok Ads,1,26-35 (Young Millennials),0.9661302850533481
2,10,2,7506.0,5,3,2,532,Lost / Inactive,Sana Iqbal,Male,28,Karachi,Sindh,2025-11-23,Facebook Ads,0,26-35 (Young Millennials),0.049433712969668454
3,15,12,403320.5,5,5,5,555,Champions,Hina Farooq,Female,42,Karachi,Sindh,2024-02-02,Referral,0,36-50 (Older Millennials),0.00460505297927613
4,198,1,3160.0,2,1,2,212,Hibernating,Muhammad Ali,Male,36,Faisalabad,Punjab,2025-07-28,Facebook Ads,1,36-50 (Older Millennials),0.9607972405251197
5,239,1,150969.0,2,1,4,214,Hibernating,Ayesha Farooq,Female,26,Karachi,Sindh,2025-08-26,Google Ads,1,26-35 (Young Millennials),0.9487404356107867
6,89,1,30170.0,3,1,3,313,Promising / Warm,Bilal Khan,Male,26,Lahore,Punjab,2025-12-15,Facebook Ads,0,26-35 (Young Millennials),0.06981456465527655
7,2,6,166650.0,5,5,5,555,Champions,Mariam Shah,Male,21,Karachi,Sindh,2026-02-20,Google Ads,0,18-25 (Gen Z),0.031097113348540414
8,78,3,91747.0,3,4,4,344,Loyal Customers,Omer Sheikh,Male,32,Lahore,Punjab,2025-01-02,Organic,0,26-35 (Young Millennials),0.03374754164722377
10,41,12,505912.5,4,5,5,455,Champions,Zahra Farooq,Female,18,Lahore,Punjab,2024-03-21,Facebook Ads,0,18-25 (Gen Z),0.0023745491971835066
11,227,1,1521.5,2,1,1,211,Hibernating,Hassan Abbasi,Female,25,Islamabad,Islamabad Capital Territory,2025-08-14,Google Ads,1,18-25 (Gen Z),0.952822120653951
13,102,1,2690.0,3,1,2,312,Promising / Warm,Amna Abbasi,Male,36,Karachi,Sindh,2024-04-13,Google Ads,1,36-50 (Older Millennials),0.9516558591708254
14,113,2,30760.0,3,3,3,333,Loyal Customers,Kiran Siddiqui,Female,20,Lahore,Punjab,2024-06-15,Facebook Ads,1,18-25 (Gen Z),0.9119392535666893
15,93,1,3180.0,3,1,2,312,Promising / Warm,Asad Mughal,Female,35,Karachi,Sindh,2025-12-19,Facebook Ads,1,26-35 (Young Millennials),0.7481990255074513
16,70,3,62215.0,4,4,3,443,Loyal Customers,Yasmin Ali,Male,31,Karachi,Sindh,2025-06-30,Facebook Ads,0,26-35 (Young Millennials),0.06234419915078984
17,206,1,115850.0,2,1,4,214,Hibernating,Hina Iqbal,Female,18,Rawalpindi,Punjab,2024-10-03,Google Ads,1,18-25 (Gen Z),0.9638418381610786
